기간,(신에너지)연료전지,(신에너지)석탄가스화,(재생에너지)태양,(재생에너지)풍력,(재생에너지)수력,(재생에너지)해양,(재생에너지)바이오,(재생에너지)폐기물
2017-01-01,113345,44342,143226,258098,169407,42525,155322,875658
2017-02-01,103661,16894,180615,255625,154869,37445,131709,752417
2017-03-01,115885,106854,225511,166028,171746,44670,173342,773887
2017-04-01,112625,142515,241956,194854,194960,42096,146135,732661
2017-05-01,115854,79534,269414,144961,234081,43454,194630,813463
2017-06-01,125614,49226,249869,83200,200717,39042,203694,792575
2017-07-01,125973,17656,187584,127217,323667,39271,192703,866454
2017-08-01,123679,155850,218989,103794,526194,39383,239208,881133
2017-09-01,119065,143878,220477,118055,250054,40169,226228,868709
2017-10-01,124845,,189477,140634,201340,40271,246976,879989
2017-11-01,126755,105016,178343,247933,169597,39670,209828,843616
2017-12-01,136311,99839,156219,321186,175965,41469,227314,886176
2018-01-01,133683,165032,171421,299728,185472,42464,253746,884917
2018-02-01,119524,109158,206775,257933,168095,36725,205669,760410
2018-03-01,133754,135221,262170,243144,161532,43358,247885,809602
2018-04-01,132902,171184,284431,242346,216706,41283,223489,818584
2018-05-01,146451,49972,278079,209459,467983,41926,182509,786532
2018-06-01,140546,,292165,103087,405669,38129,264201,847040
2018-07-01,143696,,315511,131836,407992,38629,229914,923394
2018-08-01,139843,157673,290817,141935,267317,41201,258000,872235
2018-09-01,136305,162833,256063,157681,334999,40418,237410,936999
2018-10-01,152899,79194,287184,220886,222105,41483,199516,956964
2018-11-01,166521,184111,220626,142530,229695,40003,234378,917970
2018-12-01,179425,70581,198727,305807,259616,39735,249955,962185
2019-01-01,184074,,253311,346385,200360,38843,270091,867560
2019-02-01,168855,,260484,245148,169281,38572,204162,811049
2019-03-01,185523,,347861,287203,173204,39569,315196,958137
2019-04-01,180430,,335978,179342,241143,38813,342479,869245
2019-05-01,184915,46400,445302,222845,277528,38921,293086,912031
2019-06-01,168902,48098,374081,101589,253853,36641,345550,783995
2019-07-01,179788,21,319919,187421,256094,38015,384501,938145
2019-08-01,183580,164723,374614,145920,281318,41774,399802,939754
2019-09-01,195050,173658,284923,134480,260676,41577,399695,627848
2019-10-01,199324,147232,333902,227368,249806,43471,384132,
2019-11-01,188968,66312,278115,253789,180976,39107,378547,
2019-12-01,208444,134319,241307,340868,194809,39024,423138,
2020-01-01,211695,191498,247426,310783,221183,38549,322928,
2020-02-01,205091,189773,341190,292093,204011,37796,359279,
2020-03-01,237597,213632,506265,301555,227248,40315,405030,
2020-04-01,252125,203736,571839,309315,210183,37814,337732,
2020-05-01,289214,76942,497580,215983,270951,36993,309081,
2020-06-01,278819,,489484,155165,283447,35500,302746,
2020-07-01,299320,66568,370869,157044,368689,37269,353731,
2020-08-01,315943,142189,430985,252290,789513,38002,478714,
2020-09-01,318932,173144,424159,188751,619664,40257,507157,
2020-10-01,334401,190795,496719,229672,226826,41275,377883,
2020-11-01,334163,190148,361489,321650,198808,36402,420397,
2020-12-01,353203,197702,341526,400086,190049,37085,477183,
2021-01-01,360599,190565,341234,375665,189563,39503,461961,
2021-02-01,331289,177627,450240,384983,166988,35192,430667,
2021-03-01,376253,163434,583445,268930,197189,42756,575922,
2021-04-01,373006,195758,662723,268709,232356,39429,532242,
2021-05-01,382494,133123,634410,272839,327659,39037,609279,
2021-06-01,354110,0,633299,130033,384516,35974,478736,
2021-07-01,388847,11751,630556,120798,361740,37169,606282,
2021-08-01,410941,175607,530768,153701,282841,37016,593305,
2021-09-01,404919,184237,498393,212774,291342,37977,530065,
2021-10-01,421610,99641,561443,203280,210236,37052,535830,
2021-11-01,412110,168924,444604,342087,173968,36253,473284,
2021-12-01,446928,177039,418974,432290,177430,37607,617170,
